,date,prices_name,price,hub,hub2,unit,currency,price_type,products,id_source,product_type
207,2023-01-03,THE,85.72,THE,,MWh,EUR,ASK,Q423,8,Quarter
208,2023-01-03,THE_TTF,2.8,THE,TTF,MWh,EUR,BID,Q423,8,Quarter
209,2023-01-03,THE_TTF,3.0,THE,TTF,MWh,EUR,ASK,Q423,8,Quarter
210,2023-01-03,TTF,81.445,TTF,,MWh,EUR,BID,Q423,8,Quarter
211,2023-01-03,TTF,82.72,TTF,,MWh,EUR,ASK,Q423,8,Quarter
212,2023-01-03,Czech Virtual Point,84.6,Czech Virtual Point,,MWh,EUR,BID,Q124,8,Quarter
213,2023-01-03,Czech Virtual Point,87.65,Czech Virtual Point,,MWh,EUR,ASK,Q124,8,Quarter
214,2023-01-03,Czech Virtual Point_THE,1.25,Czech Virtual Point,THE,MWh,EUR,BID,Q124,8,Quarter
215,2023-01-03,Czech Virtual Point_THE,2.2,Czech Virtual Point,THE,MWh,EUR,ASK,Q124,8,Quarter
216,2023-01-03,VTP_TTF,1.0,VTP,TTF,MWh,EUR,BID,Q124,8,Quarter
217,2023-01-03,VTP_TTF,2.9,VTP,TTF,MWh,EUR,ASK,Q124,8,Quarter
218,2023-01-03,THE,83.35,THE,,MWh,EUR,BID,Q124,8,Quarter
219,2023-01-03,THE,85.45,THE,,MWh,EUR,ASK,Q124,8,Quarter
220,2023-01-03,THE_TTF,1.6,THE,TTF,MWh,EUR,BID,Q124,8,Quarter
221,2023-01-03,THE_TTF,2.2,THE,TTF,MWh,EUR,ASK,Q124,8,Quarter
222,2023-01-03,TTF,81.75,TTF,,MWh,EUR,BID,Q124,8,Quarter
223,2023-01-03,TTF,83.25,TTF,,MWh,EUR,ASK,Q124,8,Quarter
224,2023-01-03,Czech Virtual Point,79.408,Czech Virtual Point,,MWh,EUR,BID,SUM23,8,Season
225,2023-01-03,Czech Virtual Point,81.33500000000001,Czech Virtual Point,,MWh,EUR,ASK,SUM23,8,Season
226,2023-01-03,Czech Virtual Point_THE,0.5,Czech Virtual Point,THE,MWh,EUR,BID,SUM23,8,Season
227,2023-01-03,Czech Virtual Point_THE,1.5,Czech Virtual Point,THE,MWh,EUR,ASK,SUM23,8,Season
228,2023-01-03,VTP_TTF,1.575,VTP,TTF,MWh,EUR,BID,SUM23,8,Season
229,2023-01-03,VTP_TTF,1.9,VTP,TTF,MWh,EUR,ASK,SUM23,8,Season
230,2023-01-03,THE,78.908,THE,,MWh,EUR,BID,SUM23,8,Season
231,2023-01-03,THE,79.83500000000001,THE,,MWh,EUR,ASK,SUM23,8,Season
232,2023-01-03,SK VTP_CEGH,0.5,SK VTP,CEGH,MWh,EUR,BID,SUM23,8,Season
233,2023-01-03,SK VTP_CEGH,2.0,SK VTP,CEGH,MWh,EUR,ASK,SUM23,8,Season
234,2023-01-03,THE_TTF,1.25,THE,TTF,MWh,EUR,BID,SUM23,8,Season
235,2023-01-03,THE_TTF,1.4,THE,TTF,MWh,EUR,ASK,SUM23,8,Season
236,2023-01-03,TTF,77.658,TTF,,MWh,EUR,BID,SUM23,8,Season
237,2023-01-03,TTF,78.435,TTF,,MWh,EUR,ASK,SUM23,8,Season
238,2023-01-03,Czech Virtual Point,84.795,Czech Virtual Point,,MWh,EUR,BID,WIN23,8,Season
239,2023-01-03,Czech Virtual Point,87.285,Czech Virtual Point,,MWh,EUR,ASK,WIN23,8,Season
240,2023-01-03,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,BID,WIN23,8,Season
241,2023-01-03,Czech Virtual Point_THE,2.2,Czech Virtual Point,THE,MWh,EUR,ASK,WIN23,8,Season
242,2023-01-03,VTP_TTF,2.25,VTP,TTF,MWh,EUR,BID,WIN23,8,Season
243,2023-01-03,VTP_TTF,3.1,VTP,TTF,MWh,EUR,ASK,WIN23,8,Season
244,2023-01-03,THE,83.795,THE,,MWh,EUR,BID,WIN23,8,Season
245,2023-01-03,THE,85.085,THE,,MWh,EUR,ASK,WIN23,8,Season
246,2023-01-03,THE_TTF,2.2,THE,TTF,MWh,EUR,BID,WIN23,8,Season
247,2023-01-03,THE_TTF,2.55,THE,TTF,MWh,EUR,ASK,WIN23,8,Season
248,2023-01-03,TTF,81.595,TTF,,MWh,EUR,BID,WIN23,8,Season
249,2023-01-03,TTF,82.535,TTF,,MWh,EUR,ASK,WIN23,8,Season
250,2023-01-03,Czech Virtual Point,78.55,Czech Virtual Point,,MWh,EUR,BID,CAL24,8,Year
251,2023-01-03,Czech Virtual Point,81.61,Czech Virtual Point,,MWh,EUR,ASK,CAL24,8,Year
